p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.15994368589122,0.953,0.196,0,2,Trbc2
0,2.11454029695221,0.943,0.127,0,2,Cd3d
0,2.08536042457681,0.873,0.104,0,2,Ms4a6b
0,2.02502388906626,0.873,0.21,0,2,Gimap6
0,1.95659574891638,0.868,0.099,0,2,Trac
0,1.91917196381144,0.892,0.176,0,2,Ccr7
0,1.81377268029511,0.79,0.112,0,2,Gm8369
0,1.81006633855892,0.438,0.021,0,2,Cd8b1
0,1.80462782738026,0.827,0.156,0,2,S1pr1
0,1.79015644404128,0.881,0.152,0,2,Itk
0,1.56420514594048,0.797,0.146,0,2,Cd2
0,1.5543077292548,0.719,0.112,0,2,Tcf7
0,1.39278042361201,1,0.991,0,2,Rpl12
0,1.36234340587086,0.904,0.136,0,2,Cd3g
0,1.34581425858237,0.885,0.159,0,2,Cd3e
0,1.33517906858633,0.388,0.017,0,2,Dapl1
0,1.24344702797904,1,0.999,0,2,Rps24
5.24833130749622e-299,2.00094276743899,0.892,0.295,1.05192304396147e-294,2,Gramd3
1.90886446435852e-293,1.35594791231015,0.706,0.116,3.82593704591378e-289,2,Lat
8.03542307166189e-291,1.26315432833835,1,0.996,1.61053984625319e-286,2,Rps27
3.96785255881731e-274,1.27275434355294,0.653,0.098,7.95276688363753e-270,2,Cd28
1.87015737582832e-268,1.81556778216587,0.983,0.42,3.74835642837271e-264,2,Stk17b
7.02258835987851e-263,1.29912896480799,0.609,0.096,1.40753738497045e-258,2,Grap2
6.86728725843491e-261,2.00321424651802,0.984,0.543,1.37641038520811e-256,2,Vps37b
6.21210061291656e-253,1.89033616489174,0.94,0.39,1.24509132584687e-248,2,Klf2
1.91358677110616e-245,1.33352626150295,0.622,0.105,3.83540196532807e-241,2,Gimap4
3.87858670416605e-245,1.53217688658201,0.931,0.325,7.77385133116001e-241,2,Emb
3.9585877735648e-239,1.27699400468529,0.684,0.133,7.93419747455592e-235,2,Il21r
1.20398291252713e-236,1.32358727642425,0.636,0.116,2.41314295157812e-232,2,Gimap3
9.23809947397652e-229,1.29032170194431,0.799,0.207,1.85159227756911e-224,2,Fyb
1.0283460721797e-227,1.53418615400768,0.851,0.331,2.06111403246978e-223,2,Limd2
2.03187855550518e-219,1.55819267313191,0.703,0.191,4.07249418879902e-215,2,Dusp10
3.4914243451337e-215,1.54937357038243,0.904,0.418,6.99786181495148e-211,2,Ssh2
2.62351005030712e-210,1.32067836153705,0.936,0.323,5.25830119383057e-206,2,Coro1a
3.97365121986749e-202,1.31922326515806,0.986,0.384,7.9643891399804e-198,2,Ptprc
1.40625451894424e-198,1.24768056660941,0.549,0.11,2.81855593231995e-194,2,Gimap9
5.81911050333333e-184,1.83912329036226,0.589,0.134,1.1663243181831e-179,2,Trbc1
1.20155713624946e-183,1.41492815707781,0.856,0.401,2.4082809681848e-179,2,Ablim1
6.40789135904543e-172,1.2405167180019,0.846,0.299,1.28433366509348e-167,2,Cd53
1.83705635992878e-164,1.43699502709042,0.688,0.247,3.68201206220525e-160,2,Rgs10
2.74857274304917e-155,1.61551686513705,0.551,0.164,5.50896434889344e-151,2,Fam241a
1.49756844825731e-154,1.32026430347292,0.889,0.555,3.00157644084214e-150,2,Zc3hav1
7.70367815141981e-152,1.41584397062524,0.83,0.471,1.54404821188907e-147,2,Rapgef6
8.84933684171201e-150,1.3497524994885,0.785,0.407,1.77367258318434e-145,2,Arid5a
2.68217452259217e-142,1.50845725249233,0.562,0.185,5.3758823956315e-138,2,Trib2
